region,province,municipality,active_population,employed_population
Chaouia Ouardigha,Settat,MU-ElGara,6 600,5 004
Chaouia Ouardigha,Settat,MU-Loulad,1 520,1 301
Chaouia Ouardigha,Settat,MU-Oulad Abbou,3 776,3 252
Chaouia Ouardigha,Settat,MU-Oulad M Rah,2 937,2 399
Chaouia Ouardigha,Settat,MU-Settat,43 931,36 238
Chaouia Ouardigha,Settat,CR-Ain Dorbane,4 003,3 634
Chaouia Ouardigha,Settat,CR-Bouguargouh,3 082,2 964
Chaouia Ouardigha,Settat,CR-Lahlaf M Zab,2 255,2 200
Chaouia Ouardigha,Settat,CR-Lakhzazra,3 047,2 940
Chaouia Ouardigha,Settat,CR-Mniaa,3 730,3 386
Chaouia Ouardigha,Settat,CR-Mrizigue,3 005,2 876
Chaouia Ouardigha,Settat,CR-M Garto,3 353,3 241
Chaouia Ouardigha,Settat,CR-N Khila,3 734,3 600
Chaouia Ouardigha,Settat,CR-Oued Naanaa,2 604,2 330
Chaouia Ouardigha,Settat,CR-Oulad Chbana,3 230,3 185
Chaouia Ouardigha,Settat,CR-Oulad Fares,3 672,3 372
Chaouia Ouardigha,Settat,CR-Oulad M Hamed,3 626,3 547
Chaouia Ouardigha,Settat,CR-Ras El Ain Chaouia,4 550,4 209
Chaouia Ouardigha,Settat,AC-Ras El ain,1 293,970
Chaouia Ouardigha,Settat,CR-Sgamna,3 078,2 879
Chaouia Ouardigha,Settat,CR-Sidi Abdelkrim,3 035,2 942
Chaouia Ouardigha,Settat,CR-Sidi Dahbi,3 122,2 767
Chaouia Ouardigha,Settat,CR-Sidi Hajjaj,6 788,6 338
Chaouia Ouardigha,Settat,CR-Ben Maachou,2 982,2 697
Chaouia Ouardigha,Settat,CR-Laghnimyine,5 379,5 126
Chaouia Ouardigha,Settat,CR-Lahsasna,3 300,3 184
Chaouia Ouardigha,Settat,CR-Lakhiaita,5 854,5 210
Chaouia Ouardigha,Settat,CR-Sahel Oulad H Riz,6 445,6 006
Chaouia Ouardigha,Settat,AC-Oulad h riz sahel,2 598,2 449
Chaouia Ouardigha,Settat,CR-Sidi Abdelkhaleq,2 103,1 989
Chaouia Ouardigha,Settat,CR-Sidi El Mekki,3 718,3 524
Chaouia Ouardigha,Settat,CR-Sidi Rahal Chatai,5 019,4 504
Chaouia Ouardigha,Settat,AC-Sidi Rahal Chatai,2 904,2 394
Chaouia Ouardigha,Settat,CR-Soualem,5 649,5 032
Chaouia Ouardigha,Settat,AC-Soualem,1 164,1 010
Chaouia Ouardigha,Settat,CR-Zaouiat Sidi Ben Hamdoun,3 511,3 376
Chaouia Ouardigha,Settat,CR-Ain Blal,1 723,1 633
Chaouia Ouardigha,Settat,CR-Bni Khloug,4 140,3 816
Chaouia Ouardigha,Settat,CR-Dar Chaffai,6 142,5 607
Chaouia Ouardigha,Settat,CR-Laqraqra,3 299,3 011
Chaouia Ouardigha,Settat,CR-Meskoura,2 580,2 550
Chaouia Ouardigha,Settat,CR-Oulad Amer,1 800,1 757
Chaouia Ouardigha,Settat,CR-Oulad Bouali Nouaja,2 728,2 419
Chaouia Ouardigha,Settat,CR-Oulad Fares El Halla,1 131,997
Chaouia Ouardigha,Settat,CR-Oulad Freiha,3 823,3 663
Chaouia Ouardigha,Settat,CR-Sidi Ahmed El Khadir,2 822,2 777
Chaouia Ouardigha,Settat,CR-Sidi Boumehdi,1 562,1 215
Chaouia Ouardigha,Settat,CR-Deroua,8 335,7 308
Chaouia Ouardigha,Settat,AC-Deroua,3 701,3 054
Chaouia Ouardigha,Settat,CR-Foqra Oulad Aameur,2 120,2 043
Chaouia Ouardigha,Settat,CR-Jaqma,3 992,3 746
Chaouia Ouardigha,Settat,CR-Kasbat Ben Mchich,5 023,4 805
Chaouia Ouardigha,Settat,CR-Lambarkiyine,2 855,2 744
Chaouia Ouardigha,Settat,CR-Ouled Cebbah,2 856,2 717
Chaouia Ouardigha,Settat,CR-Ouled Zidane,2 342,2 224
Chaouia Ouardigha,Settat,CR-Riah,2 625,2 523
Chaouia Ouardigha,Settat,CR-Ain Nzagh,4 908,4 723
Chaouia Ouardigha,Settat,CR-Bni Yagrine,3 926,3 827
Chaouia Ouardigha,Settat,CR-Gdana,3 576,3 384
Chaouia Ouardigha,Settat,CR-Guisser,3 459,3 244
Chaouia Ouardigha,Settat,AC-Guisser,616,471
Chaouia Ouardigha,Settat,CR-Khemisset Chaouia,2 070,2 036
Chaouia Ouardigha,Settat,CR-Lahouaza,2 902,2 810
Chaouia Ouardigha,Settat,CR-Machraa Ben Abbou,3 283,2 982
Chaouia Ouardigha,Settat,CR-Mzoura,4 076,3 961
Chaouia Ouardigha,Settat,CR-Oulad Aafif,3 053,2 906
Chaouia Ouardigha,Settat,CR-Oulad Said,2 941,2 733
Chaouia Ouardigha,Settat,AC-Oulad Said,883,696
Chaouia Ouardigha,Settat,CR-Oulad Sghir,2 707,2 532
Chaouia Ouardigha,Settat,CR-Rima,3 506,3 390
Chaouia Ouardigha,Settat,CR-Sidi El Aidi,4 857,4 544
Chaouia Ouardigha,Settat,CR-Sidi Mohammed Ben Rahal,3 815,3 718
Chaouia Ouardigha,Settat,CR-Tamadroust,2 782,2 668
Chaouia Ouardigha,Settat,CR-Toualet,4 752,4 665
Marrakech Tensift Al Haouz,Al Haouz,(Tous),173 081,163 801
Marrakech Tensift Al Haouz,Al Haouz,MU-Ait Ourir,5 888,5 216
Marrakech Tensift Al Haouz,Al Haouz,CR-Abadou,4 022,3 916
Marrakech Tensift Al Haouz,Al Haouz,CR-Ait Aadel,2 351,2 204
Marrakech Tensift Al Haouz,Al Haouz,CR-Ait Faska,6 529,6 158
Marrakech Tensift Al Haouz,Al Haouz,CR-Ait Hkim Ait Yzid,2 438,2 396
Marrakech Tensift Al Haouz,Al Haouz,CR-Ait Sidi Daoud,6 734,6 471
Marrakech Tensift Al Haouz,Al Haouz,CR-Ghmate,7 957,7 237
Marrakech Tensift Al Haouz,Al Haouz,AC-Ghmate,284,260
Marrakech Tensift Al Haouz,Al Haouz,CR-Iguerferouane,4 351,4 202
Marrakech Tensift Al Haouz,Al Haouz,CR-Sidi Abdallah Ghiat,7 304,6 816
Marrakech Tensift Al Haouz,Al Haouz,AC-Sidi Abdallah Ghiat,374,265
Marrakech Tensift Al Haouz,Al Haouz,CR-Tamaguert,3 464,3 231
Marrakech Tensift Al Haouz,Al Haouz,CR-Tamazouzte,4 016,3 790
Marrakech Tensift Al Haouz,Al Haouz,CR-Tazart,5 559,5 413
Marrakech Tensift Al Haouz,Al Haouz,CR-Tidili Mesfioua,7 664,7 404
Marrakech Tensift Al Haouz,Al Haouz,CR-Tighedouine,9 193,8 897
Marrakech Tensift Al Haouz,Al Haouz,CR-Touama,4 201,4 028
Marrakech Tensift Al Haouz,Al Haouz,CR-Zerkten,6 936,6 153
Marrakech Tensift Al Haouz,Al Haouz,CR-Amghras,1 653,1 603
Marrakech Tensift Al Haouz,Al Haouz,CR-Amizmiz,906,861
Marrakech Tensift Al Haouz,Al Haouz,AC-Amizmiz,3 387,3 040
Marrakech Tensift Al Haouz,Al Haouz,CR-Anougal,1 456,1 330
Marrakech Tensift Al Haouz,Al Haouz,CR-Azgour,1 625,1 593
Marrakech Tensift Al Haouz,Al Haouz,CR-Dar Jamaa,2 179,2 145
Marrakech Tensift Al Haouz,Al Haouz,CR-Lalla Takarkoust,926,891
Marrakech Tensift Al Haouz,Al Haouz,AC-Lalla Takarkoust,1 056,979
Marrakech Tensift Al Haouz,Al Haouz,CR-Ouazguita,1 842,1 753
Marrakech Tensift Al Haouz,Al Haouz,CR-Oulad Mtaa,2 245,2 066
Marrakech Tensift Al Haouz,Al Haouz,CR-Sidi Badhaj,2 051,1 992
Marrakech Tensift Al Haouz,Al Haouz,CR-Tizguine,1 152,1 126
Marrakech Tensift Al Haouz,Al Haouz,CR-Aghbar,1 487,1 445
Marrakech Tensift Al Haouz,Al Haouz,CR-Asni,8 182,8 054
Marrakech Tensift Al Haouz,Al Haouz,CR-Ighil,1 817,1 779
Marrakech Tensift Al Haouz,Al Haouz,CR-Ijoukak,2 292,2 238
Marrakech Tensift Al Haouz,Al Haouz,CR-Imgdal,2 723,2 710
Marrakech Tensift Al Haouz,Al Haouz,CR-Ouirgane,2 600,2 542
Marrakech Tensift Al Haouz,Al Haouz,CR-Talat N Yaaqoub,2 829,2 633
Marrakech Tensift Al Haouz,Al Haouz,CR-Moulay Brahim,3 158,3 030
Marrakech Tensift Al Haouz,Al Haouz,AC-Moulay brahim,1 154,1 045
Marrakech Tensift Al Haouz,Al Haouz,CR-Oukaimden,1 494,1 463
Marrakech Tensift Al Haouz,Al Haouz,CR-Ourika,9 897,9 214
Marrakech Tensift Al Haouz,Al Haouz,CR-Sti Fadma,8 190,7 889
Marrakech Tensift Al Haouz,Al Haouz,CR-Tahannaout,7 911,7 352
Marrakech Tensift Al Haouz,Al Haouz,AC-Tahannaout,2 203,2 033
Marrakech Tensift Al Haouz,Al Haouz,CR-Tameslohte,5 176,4 805
Marrakech Tensift Al Haouz,Al Haouz,AC-Tameslohte,2 225,2 133
Marrakech Tensift Al Haouz,Chichaoua,(Tous),115 001,108 541
Marrakech Tensift Al Haouz,Chichaoua,MU-Chichaoua,5 283,4 861
Marrakech Tensift Al Haouz,Chichaoua,MU-Imintanoute,4 991,4 371
Marrakech Tensift Al Haouz,Chichaoua,CR-Ahdil,4 282,4 268
Marrakech Tensift Al Haouz,Chichaoua,CR-Ait Hadi,1 811,1 717
Marrakech Tensift Al Haouz,Chichaoua,CR-Lamzoudia,7 614,7 249
Marrakech Tensift Al Haouz,Chichaoua,CR-Oulad Moumna,2 617,2 596
Marrakech Tensift Al Haouz,Chichaoua,CR-Saidate,2 421,2 246
Marrakech Tensift Al Haouz,Chichaoua,CR-Sidi L Mokhtar,3 195,3 111
Marrakech Tensift Al Haouz,Chichaoua,AC-Sidi L Mokhtar,4 429,4 038
Marrakech Tensift Al Haouz,Chichaoua,CR-Sidi Bouzid Arragragui,2 820,2 713
Marrakech Tensift Al Haouz,Chichaoua,CR-Sidi M Hamed Dalil,1 805,1 743
Marrakech Tensift Al Haouz,Chichaoua,CR-Afalla Issen,2 804,2 722
Marrakech Tensift Al Haouz,Chichaoua,CR-Ain Tazitounte,1 857,1 748
Marrakech Tensift Al Haouz,Chichaoua,CR-Ait Haddou Youssef,1 550,1 526
Marrakech Tensift Al Haouz,Chichaoua,CR-Irohalen,1 888,1 736
Marrakech Tensift Al Haouz,Chichaoua,CR-Lalla Aaziza,1 904,1 832
Marrakech Tensift Al Haouz,Chichaoua,CR-Nfifa,1 822,1 772
Marrakech Tensift Al Haouz,Chichaoua,CR-Oued L bour,1 890,1 857
Marrakech Tensift Al Haouz,Chichaoua,CR-Sidi Ghanem,2 649,2 511
Marrakech Tensift Al Haouz,Chichaoua,CR-Timezgadiouine,3 747,3 516
Marrakech Tensift Al Haouz,Chichaoua,CR-Adassil,3 459,3 361
Marrakech Tensift Al Haouz,Chichaoua,CR-Assif El Mal,1 960,1 914
Marrakech Tensift Al Haouz,Chichaoua,CR-Douirane,4 084,3 981
Marrakech Tensift Al Haouz,Chichaoua,CR-Gmassa,3 399,3 037
Marrakech Tensift Al Haouz,Chichaoua,CR-Imindounit,3 078,2 923
Marrakech Tensift Al Haouz,Chichaoua,CR-Majjat,4 225,3 973
Marrakech Tensift Al Haouz,Chichaoua,CR-M Zouda,5 267,4 660
Marrakech Tensift Al Haouz,Chichaoua,CR-Zaouia Annahlia,5 608,4 864
Marrakech Tensift Al Haouz,Chichaoua,CR-Bouabout,4 323,4 020
Marrakech Tensift Al Haouz,Chichaoua,CR-Bouabout Amdlane,2 423,2 411
Marrakech Tensift Al Haouz,Chichaoua,CR-Ichamraren,2 417,2 402
Marrakech Tensift Al Haouz,Chichaoua,CR-Kouzemt,1 293,1 261
Marrakech Tensift Al Haouz,Chichaoua,CR-Rahhala,2 525,2 521
Marrakech Tensift Al Haouz,Chichaoua,CR-Sidi Abdelmoumen,3 688,3 378
Marrakech Tensift Al Haouz,Chichaoua,CR-Taouloukoult,3 871,3 744
Marrakech Tensift Al Haouz,Chichaoua,CR-Timlilt,2 002,1 958
Marrakech Tensift Al Haouz,El Kelaa Sraghna,(Tous),246 160,225 177
Marrakech Tensift Al Haouz,El Kelaa Sraghna,MU-Ben Guerir,20 254,16 788
Marrakech Tensift Al Haouz,El Kelaa Sraghna,MU-El Kelaa Sraghna,21 507,17 845
Marrakech Tensift Al Haouz,El Kelaa Sraghna,MU-Laattaouia,5 836,5 125
Marrakech Tensift Al Haouz,El Kelaa Sraghna,MU-Sidi Rahhal,1 965,1 612
Marrakech Tensift Al Haouz,El Kelaa Sraghna,MU-Tamallalt,3 631,3 218
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Chtaiba,2 410,2 257
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Eddachra,2 043,1 714
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-ElAamria,2 301,2 156
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-ElMarbouh,2 458,2 133
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Errafiaya,1 470,1 221
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Hiadna,3 476,3 244
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Lounasda,3 060,2 878
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Mayate,4 052,3 897
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Aamer,2 109,1 920
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Bouali Loued,1 992,1 843
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Cherki,2 227,2 201
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad El Garne,1 915,1 717
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Massaoud,1 626,1 446
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Msabbel,1 714,1 625
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Sbih,1 907,1 837
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Yaacoub,2 241,2 043
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Zarrad,4 016,3 769
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sidi El Hattab,2 707,2 571
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sidi Moussa,3 272,2 992
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Taouzint,1 713,1 522
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Znada,2 809,2 722
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Assahrij,3 886,3 411
Marrakech Tensift Al Haouz,El Kelaa Sraghna,AC-Assahrij,490,401
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Bouya Omar,4 264,3 951
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Choara,3 176,2 991
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Dzouz,2 865,2 736
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Fraita,3 070,2 887
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Jbiel,3 366,3 113
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Jouala,3 420,3 312
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Laatamna,3 350,2 958
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Laattaouia Ech chaybia,1 374,1 254
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Loued Lakhdar,3 200,2 917
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-M Zem Sanhaja,2 865,2 678
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Ouargui,2 934,2 766
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Aarrad,2 538,2 348
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Khallouf,2 848,2 464
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sidi Aissa Ben Slimane,5 195,4 644
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sour El Aaz,1 309,1 066
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Zemrane,5 271,5 029
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Zemrane Charqia,9 451,8 609
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Ait Hammou,2 419,2 325
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Ait Taleb,3 217,3 203
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Bouchane,3 399,3 224
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Jaafra,3 715,3 579
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Labrikiyne,4 912,4 796
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Aamer Tizmarine,1 875,1 842
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Hassoune Hamri,3 110,2 887
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sidi Abdallah,3 631,3 521
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sidi Ali Labrahla,2 438,2 336
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sidi Ghanem,4 276,4 218
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sidi Mansour,2 492,2 480
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Skhour Rhamna,3 274,3 212
Marrakech Tensift Al Haouz,El Kelaa Sraghna,AC-Skhour Rhamna,1 469,1 186
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Skoura Lhadra,3 267,3 074
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Akarma,1 752,1 627
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Bourrous,2 032,2 014
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Jaidate,3 821,3 603
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Lamharra,3 144,3 017
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Nzalat Laadam,3 240,3 152
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Oulad Imloul,3 005,2 903
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Ras Ain Rhamna,4 522,4 244
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sidi Boubker,2 496,2 315
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Sidi Bou Othmane,4 046,3 922
Marrakech Tensift Al Haouz,El Kelaa Sraghna,AC-Sidi Bou Othmane,1 624,1 395
Marrakech Tensift Al Haouz,El Kelaa Sraghna,CR-Tlauh,3 401,3 271
Marrakech Tensift Al Haouz,Essaouira,(Tous),164 437,156 240
Marrakech Tensift Al Haouz,Essaouira,MU-Ait Daoud,779,588
Marrakech Tensift Al Haouz,Essaouira,MU-ElHanchane,1 610,1 396
Marrakech Tensift Al Haouz,Essaouira,MU-Essaouira,27 224,24 083
Marrakech Tensift Al Haouz,Essaouira,MU-Talmest,1 459,1 328
Marrakech Tensift Al Haouz,Essaouira,MU-Tamanar,3 144,2 918
Marrakech Tensift Al Haouz,Essaouira,CR-Ait Said,2 505,2 488
Marrakech Tensift Al Haouz,Essaouira,CR-Aquermoud,5 831,5 708
Marrakech Tensift Al Haouz,Essaouira,CR-Had Dra,3 148,3 078
Marrakech Tensift Al Haouz,Essaouira,CR-Kechoula,2 274,2 217
Marrakech Tensift Al Haouz,Essaouira,CR-Korimate,3 626,3 562
Marrakech Tensift Al Haouz,Essaouira,CR-Lagdadra,2 088,2 033
Marrakech Tensift Al Haouz,Essaouira,CR-Lahsinate,2 160,2 077
Marrakech Tensift Al Haouz,Essaouira,CR-Mejji,3 223,3 203
Marrakech Tensift Al Haouz,Essaouira,CR-Meskala,1 844,1 836
Marrakech Tensift Al Haouz,Essaouira,CR-Mouarid,2 347,2 251
Marrakech Tensift Al Haouz,Essaouira,CR-Moulay Bouzarqtoune,2 742,2 664
Marrakech Tensift Al Haouz,Essaouira,CR-Mzilate,1 519,1 474
Marrakech Tensift Al Haouz,Essaouira,CR-M Khalif,1 805,1 783
Marrakech Tensift Al Haouz,Essaouira,CR-M Ramer,2 894,2 832
Marrakech Tensift Al Haouz,Essaouira,CR-Oulad M Rabet,1 285,1 265
Marrakech Tensift Al Haouz,Essaouira,CR-Ounagha,4 109,4 020
Marrakech Tensift Al Haouz,Essaouira,AC-Ounagha,313,275
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Abdeljalil,2 733,2 640
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Aissa Regragui,2 795,2 720
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Ali El Korati,2 436,2 350
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Boulaalam,2 386,2 268
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Ishaq,4 687,4 563
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Laaroussi,5 201,4 955
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi M Hamed Ou Marzouq,2 285,2 176
Marrakech Tensift Al Haouz,Essaouira,CR-Tafetachte,1 928,1 861
Marrakech Tensift Al Haouz,Essaouira,AC-Tafetachte,386,370
Marrakech Tensift Al Haouz,Essaouira,CR-Takate,3 919,3 755
Marrakech Tensift Al Haouz,Essaouira,CR-Zaouiat Ben Hmida,2 080,2 062
Marrakech Tensift Al Haouz,Essaouira,CR-Adaghas,1 249,1 239
Marrakech Tensift Al Haouz,Essaouira,CR-Aglif,2 500,2 415
Marrakech Tensift Al Haouz,Essaouira,CR-Aguerd,2 071,2 050
Marrakech Tensift Al Haouz,Essaouira,CR-Ait Aissi Ihahane,1 654,1 461
Marrakech Tensift Al Haouz,Essaouira,CR-Assais,2 291,2 266
Marrakech Tensift Al Haouz,Essaouira,CR-Bizdad,2 792,2 771
Marrakech Tensift Al Haouz,Essaouira,CR-Bouzemmour,1 795,1 713
Marrakech Tensift Al Haouz,Essaouira,CR-Ezzaouite,2 553,2 505
Marrakech Tensift Al Haouz,Essaouira,CR-Ida Ou Aazza,2 924,2 649
Marrakech Tensift Al Haouz,Essaouira,CR-Ida Ou Guelloul,1 958,1 868
Marrakech Tensift Al Haouz,Essaouira,CR-Ida Ou Kazzou,2 060,2 038
Marrakech Tensift Al Haouz,Essaouira,CR-Imgrade,2 539,2 355
Marrakech Tensift Al Haouz,Essaouira,CR-Imi N Tlit,2 333,2 267
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Ahmed Essayeh,2 295,2 161
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi El Jazouli,2 478,2 422
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Ghaneme,2 470,2 468
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi H Mad Ou M Barek,1 846,1 636
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Hmad Ou Hamed,2 202,2 201
Marrakech Tensift Al Haouz,Essaouira,CR-Sidi Kaouki,1 692,1 630
Marrakech Tensift Al Haouz,Essaouira,CR-Smimou,1 259,1 193
Marrakech Tensift Al Haouz,Essaouira,AC-Smimou,754,699
Marrakech Tensift Al Haouz,Essaouira,CR-Tafedna,2 025,1 984
Marrakech Tensift Al Haouz,Essaouira,CR-Tahelouante,1 670,1 665
Marrakech Tensift Al Haouz,Essaouira,CR-Takoucht,2 324,2 321
Marrakech Tensift Al Haouz,Essaouira,CR-Targante,2 549,2 306
Marrakech Tensift Al Haouz,Essaouira,CR-Tidzi,1 625,1 612
Marrakech Tensift Al Haouz,Essaouira,CR-Timizguida Ouftas,1 764,1 546
Marrakech Tensift Al Haouz,Marrakech,(Tous),400 877,356 895
Marrakech Tensift Al Haouz,Marrakech,MU-Mechouar Kasba,8 758,7 690
Marrakech Tensift Al Haouz,Marrakech,AR-Annakhil,21 656,19 020
Marrakech Tensift Al Haouz,Marrakech,AR-Gueliz,66 303,59 087
Marrakech Tensift Al Haouz,Marrakech,AR-Marrakech Medina,68 374,59 292
Marrakech Tensift Al Haouz,Marrakech,AR-Menara,102 318,90 424
Marrakech Tensift Al Haouz,Marrakech,AR-Sidi Youssef Ben Ali,46 857,40 508
Marrakech Tensift Al Haouz,Marrakech,CR-Alouidane,7 970,7 301
Marrakech Tensift Al Haouz,Marrakech,CR-Harbil,5 931,5 747
Marrakech Tensift Al Haouz,Marrakech,CR-M Nabha,4 103,3 914
Marrakech Tensift Al Haouz,Marrakech,AC-Kettara,488,373
Marrakech Tensift Al Haouz,Marrakech,CR-Ouahat Sidi Brahim,4 295,4 073
Marrakech Tensift Al Haouz,Marrakech,CR-Oulad Hassoune,7 071,6 289
Marrakech Tensift Al Haouz,Marrakech,CR-Ouled Dlim,5 404,5 324
Marrakech Tensift Al Haouz,Marrakech,CR-Agafay,3 551,3 442
Marrakech Tensift Al Haouz,Marrakech,CR-Ait Imour,3 903,3 795
Marrakech Tensift Al Haouz,Marrakech,CR-Loudaya,6 833,6 390
Marrakech Tensift Al Haouz,Marrakech,AC-Loudaya,3 385,2 931
Marrakech Tensift Al Haouz,Marrakech,CR-Saada,12 749,12 131
Marrakech Tensift Al Haouz,Marrakech,CR-Sid Zouine,600,570
Marrakech Tensift Al Haouz,Marrakech,AC-Sid Zouine,3 272,2 925
Marrakech Tensift Al Haouz,Marrakech,CR-Souihla,6 905,6 336
Marrakech Tensift Al Haouz,Marrakech,CR-Tassoultante,10 151,9 333
L'Oriental,Berkane,(Tous),95 084,76 853
L'Oriental,Berkane,MU-Ahfir,6 058,4 410
L'Oriental,Berkane,MU-Ain Erreggada,1 035,622
L'Oriental,Berkane,MU-Aklim,2 450,2 171
L'Oriental,Berkane,MU-Berkane,27 644,22 134
L'Oriental,Berkane,MU-Saidia,1 277,988
L'Oriental,Berkane,MU-Sidi Sliman Echcharaa,8 246,6 343
L'Oriental,Berkane,CR-Aghbal,5 147,4 414
L'Oriental,Berkane,CR-Fezouane,3 844,3 261
L'Oriental,Berkane,CR-Laatamna,5 446,4 644
L'Oriental,Berkane,CR-Madagh,4 219,3 363
L'Oriental,Berkane,AC-Madagh,849,646
L'Oriental,Berkane,CR-Boughriba,7 174,6 351
L'Oriental,Berkane,CR-Chouihia,5 220,4 050
L'Oriental,Berkane,CR-Rislane,1 743,1 617
L'Oriental,Berkane,CR-Sidi Bouhria,1 582,1 244
L'Oriental,Berkane,CR-Tafoughalt,975,823
L'Oriental,Berkane,CR-Zegzel,5 626,4 828
L'Oriental,Berkane,AC-Bouhdila,6 549,4 944
L'Oriental,Figuig,(Tous),38 954,32 453
L'Oriental,Figuig,MU-Bouarfa,7 482,5 351
L'Oriental,Figuig,MU-Figuig,3 320,2 536
L'Oriental,Figuig,CR-Ain Chouater,435,249
L'Oriental,Figuig,CR-Bni Tadjite,2 329,2 027
L'Oriental,Figuig,AC-Bni tadjite,2 038,1 669
L'Oriental,Figuig,CR-Bouanane,2 268,1 814
L'Oriental,Figuig,AC-Bouanane,948,621
L'Oriental,Figuig,CR-Bouchaouene,3 600,3 484
L'Oriental,Figuig,CR-Boumerieme,2 463,2 428
L'Oriental,Figuig,CR-Talsint,2 578,2 388
L'Oriental,Figuig,AC-Talsint,1 862,1 348
L'Oriental,Figuig,CR-Abbou Lakhal,365,325
L'Oriental,Figuig,CR-Bni Guil,2 894,2 629
L'Oriental,Figuig,CR-Maatarka,2 384,2 282
L'Oriental,Figuig,CR-Tendrara,2 088,1 986
L'Oriental,Figuig,AC-Tendrara,1 900,1 316
L'Oriental,Jerada,(Tous),32 113,22 458
